Source	Target
182	9
182	811
182	274
182	869
146	3
146	225
146	719
146	641
146	320
146	749
146	283
146	480
275	458
558	620
558	949
558	736
558	758
558	929
272	6
272	395
291	671
291	770
291	385
291	565
291	732
7	713
7	987
168	7
168	891
168	312
168	591
168	736
0	709
48	55
415	6
415	72
415	751
415	930
648	7
648	660
713	997
713	78
713	811
32	713
32	8
32	827
2	558
2	48
2	392
2	393
2	473
626	7
626	993
626	829
626	922
768	8
782	8
709	874
709	804
709	966
851	975
227	568
227	239
227	313
227	954
227	795
837	999
837	897
837	848
501	560
260	860
260	6
260	637
260	79
260	432
260	941
260	338
16	9
16	322
16	880
16	623
16	879
778	9
778	928
778	952
747	840
747	986
747	892
747	877
165	2
165	65
165	677
165	864
165	261
808	867
808	870
392	784
392	761
392	800
792	891
3	919
3	865
235	5
235	452
235	344
235	789
235	573
393	494
393	923
393	843
944	989
11	275
11	291
11	837
11	860
12	72
12	89
12	144
12	687
12	309
12	943
12	453
12	866
72	866
72	741
72	934
723	752
357	6
357	938
357	749
357	496
357	571
357	510
4	651
4	963
4	792
4	752
4	513
13	3
13	207
13	984
13	634
158	3
158	723
158	344
158	986
158	360
158	617
158	353
865	984
341	8
341	872
341	666
341	649
341	876
144	197
144	770
144	647
144	206
473	762
752	853
752	995
513	544
513	565
10	227
10	944
10	956
1	501
1	747
1	808
9	963
225	9
225	938
225	31
225	405
5	851
5	723
14	997
14	999
14	35
14	343
140	18
140	64
140	784
140	990
140	897
322	687
322	388
322	809
322	421
322	604
241	737
241	379
241	376
241	442
241	270
556	944
556	746
66	837
66	885
485	865
485	947
609	637
609	902
687	690
625	827
625	853
625	744
625	680
625	988
207	553
207	619
207	934
207	287
734	800
734	926
788	830
788	917
17	415
17	485
17	83
17	785
17	620
17	606
17	529
17	660
57	880
57	863
57	874
167	556
167	172
167	766
309	43
309	681
20	66
20	785
20	512
20	356
20	518
20	349
785	915
785	862
512	776
512	597
453	527
453	656
866	885
15	747
15	235
15	322
15	167
15	356
356	984
356	41
356	85
356	615
623	658
623	68
623	950
623	664
623	797
623	811
620	627
35	632
35	726
35	927
879	969
334	660
334	979
334	79
334	75
334	403
535	636
19	73
19	791
136	32
136	19
136	37
136	590
136	828
136	99
518	910
518	862
606	62
606	848
715	808
715	912
733	986
733	886
73	838
228	501
228	244
228	384
228	676
228	843
228	435
312	781
312	399
312	849
312	351
312	850
312	329
312	368
634	843
529	880
529	77
529	542
529	85
529	849
529	857
660	90
660	857
18	334
18	535
18	564
18	452
343	43
343	475
343	757
343	567
564	787
21	241
21	928
21	961
21	794
21	356
21	715
21	733
21	891
21	380
21	867
21	69
380	441
380	991
380	644
380	970
452	633
22	556
22	609
22	625
22	734
22	788
22	57
22	228
22	312
22	936
349	71
349	635
349	981
349	496
