Source	Target
626	7
626	829
626	993
626	922
558	620
558	949
558	736
558	929
558	758
648	7
648	660
713	997
713	78
713	811
851	975
48	55
392	784
392	761
392	800
7	713
7	987
32	713
32	8
32	827
0	709
709	874
709	966
709	804
165	2
165	65
165	677
165	864
165	261
747	840
747	986
747	892
747	877
13	3
13	207
13	984
13	634
158	3
158	723
158	344
158	986
158	617
158	360
158	353
513	544
513	565
792	891
473	762
4	513
4	651
4	792
4	963
4	752
5	851
5	723
235	5
235	452
235	344
235	789
235	573
501	560
393	494
393	923
393	843
3	919
3	865
146	3
146	225
146	719
146	641
146	480
146	749
146	283
146	320
865	984
1	747
1	501
1	808
2	558
2	48
2	392
2	473
2	393
723	752
752	853
752	995
260	6
260	860
260	79
260	637
260	941
260	432
260	338
272	6
272	395
357	6
357	938
357	496
357	749
357	571
357	510
415	6
415	72
415	751
415	930
168	7
168	312
168	891
168	591
168	736
808	867
808	870
564	787
452	633
10	227
10	956
10	944
73	838
227	568
227	239
227	313
227	954
227	795
35	927
35	632
35	726
20	512
20	66
20	349
20	356
20	785
20	518
512	776
512	597
140	18
140	64
140	784
140	897
140	990
136	32
136	19
136	37
136	590
136	828
136	99
11	275
11	860
11	837
11	291
182	9
182	811
182	274
182	869
879	969
144	197
144	770
144	647
144	206
14	999
14	35
14	997
14	343
275	458
309	43
309	681
207	553
207	619
207	934
207	287
12	89
12	144
12	309
12	943
12	453
12	687
12	72
12	866
167	556
167	172
167	766
529	880
529	77
529	542
529	85
529	849
529	857
620	627
66	837
66	885
349	71
349	635
349	981
349	496
349	897
349	795
349	621
778	9
778	928
778	952
634	843
9	963
535	636
343	43
343	475
343	757
343	567
322	687
322	388
322	809
322	421
322	604
225	9
225	938
225	31
225	405
837	999
837	897
837	848
17	415
17	83
17	529
17	620
17	606
17	785
17	485
17	660
15	747
15	235
15	167
15	322
15	356
606	62
606	848
356	984
356	41
356	85
356	615
18	564
18	452
18	535
18	334
944	989
785	915
785	862
334	660
334	979
334	79
334	75
334	403
782	8
768	8
453	527
453	656
687	690
16	879
16	880
16	9
16	322
16	623
341	8
341	872
341	666
341	649
341	876
291	671
291	770
291	385
291	732
291	565
